,pl_name,ra,dec
18107,Kepler-633 b,295.2173259,40.5921599
18108,Kepler-1937 b,290.6583922,40.7785383
18109,Kepler-1827 b,292.2525301,40.7927895
18110,Kepler-1805 b,285.0865387,40.8990506
18111,Kepler-1836 b,292.3150933,40.8387799
18112,Kepler-1721 b,283.5441984,45.2256548
18113,Kepler-1747 b,284.2096557,45.258082
18114,Kepler-1747 b,284.2096557,45.258082
18115,Kepler-1747 b,284.2096557,45.258082
18116,Kepler-1747 b,284.2096557,45.258082
18117,Kepler-1940 b,291.2042027,45.2383344
18118,Kepler-1940 b,291.2042027,45.2383344
18119,Kepler-1823 b,283.754777,45.335125
18120,Kepler-1823 b,283.754777,45.335125
18121,Kepler-1700 b,286.9497376,45.3537626
18122,HD 22496 b,53.7565398,-48.4178173
18123,Kepler-1901 b,291.1643587,45.3183061
18124,Kepler-1901 b,291.1643587,45.3183061
18125,Kepler-1901 b,291.1643587,45.3183061
18126,Kepler-1968 b,291.5080318,45.3700933
18127,Kepler-1674 b,294.8160447,45.3060844
18128,Kepler-1674 b,294.8160447,45.3060844
18129,Kepler-1833 b,290.8714239,45.4102813
18130,Kepler-1833 b,290.8714239,45.4102813
18131,Kepler-1322 c,293.2045009,45.4353919
18132,Kepler-1322 c,293.2045009,45.4353919
18133,Kepler-1322 c,293.2045009,45.4353919
18134,Kepler-1749 b,290.2945805,45.5645196
18135,Kepler-1848 b,299.3814921,45.5920846
18136,Kepler-1848 b,299.3814921,45.5920846
18137,HD 29021 b,69.4681379,60.6762985
18138,Kepler-1837 b,288.2076012,45.6834463
18139,Kepler-1837 b,288.2076012,45.6834463
18140,Kepler-1779 b,300.4174607,45.6054854
18141,Kepler-1779 b,300.4174607,45.6054854
18142,Kepler-1726 b,284.3861498,45.7197342
18143,Kepler-1726 b,284.3861498,45.7197342
18144,Kepler-1748 b,285.967897,45.7390789
18145,Kepler-1788 b,291.2243829,45.7780993
18146,Kepler-1797 b,292.4642406,45.9682799
18147,Kepler-1790 b,294.5668577,46.0757312
18148,Kepler-1790 b,294.5668577,46.0757312
18149,Kepler-1790 b,294.5668577,46.0757312
18150,Kepler-1873 b,294.596557,46.0483705
18151,Kepler-1873 b,294.596557,46.0483705
18152,Kepler-1873 b,294.596557,46.0483705
18153,Kepler-1315 c,295.8215678,46.0530562
18154,Kepler-1315 c,295.8215678,46.0530562
